text,sentiment
i have been continually surprised at how much less i need to eat to feel truly satisfied if im eating good food and sitting down for a whole lovely little experience at each meal satisfying the soul as well as the stomach,positive
i pretty much waddled out of the hospital feeling weird lightheaded but ok,positive
i apologize to him almost every day for my lack of faith and i ask him to give me more because i feel uncertain about my future here in kiev,negative
i am still searching for direction but at least now i feel slightly more assured more hopeful,positive
i am so angry that i feel like i have to go through life not being as carefree as i want to be,positive
i feel passionate about today because of him,positive
i am only having day a week where i am feeling depressed or seriously anxious,negative
article published,positive
i see things so clearly and with so much depth peace that it makes me feel unsure,negative
i feel myself relax a little he wouldn t be this friendly if he was going to tear me off a strip but my mind is working overtime trying to work out what he does want,positive
i feel doubtful about my place in the world of technology and the applicable value of the work i do i often find it helpful to think about doug engelbart listening to him describe in one of many interviews his goals the genesis of his goals and his dogged perseverance toward meeting his plan,negative
im feeling rotten i dont post much new material that doesnt mean you shouldnt be reading when youre feeling rotten,negative
i have a feeling that theyre probably not going to be thrilled with me,positive
ive been feeling pretty shitty and been in a pretty shitty mood the past few days,negative
i cant even imagine how my mom and her three younger sisters must feel i think the weird thing about death is that from an early age we associate it with something evil and tragic,positive
i feel glad i am on the side of the law and the only journey about to start was our weekend sojourn to the city of pines,positive
i will most likely feel overwhelmed and exhausted again,negative
i can feel myself reaching out extending through time and space to touch my beloved,positive
im looking right now so desperately looking for a creative project that i feel like i have had a hand in that i need to sit and write my fucking mother fucker of a fuckity fuckers fucked play before i feel satisfied doing anything else,negative
i am really hoping to get to target soon and i am so glad im feeling more positive this week,positive
i dont know if i feel appreciative of all the talent out there or depressed that i suck at this so much,positive
i feel he will be ok with out it,positive
i tend to stop breathing when i m feeling stressed,negative
i feel sickened by and disgusted with the sins of man despite my divinity i feel sickened by and disgusted with the sins of man,negative
i feel that i have nothing smart or interesting to write about these days,positive
i feel blessed and grateful today,positive
i am not feeling very compassionate towards those that need our help i just want them to fix their own problems so i dont have to figure out what parts they need or how long it will take to get the job done or is this an emergency,positive
i had my week appointment yesterday and left feeling a little defeated,negative
i know it isnt true but sometimes i feel like the most unimportant insignificant person on the face of the earth,negative
i feel so numb to everything right now and its hard to express exactly what i feel but we went for a little harrison walk nonetheless to clear our heads,negative
i feel for you makes me brave,positive
i am feeling incredibly thankful for this year my children,positive
i write this i m sipping on a martini which is probably why i m feeling so generous,positive
i would recommend watching them to feel amazed and inspired,positive
i can t really put into eloquent words what i m trying to say i just feel listless and useless and meaningless as though i ve failed in life,negative
i feel that i have a really funny side that i would like people to see,positive
i already feel awful about what happened and i actually needed to hear you say everything you just said more than anything else in the whole world,negative
i feel divine and strong,positive
i can say that i feel amazed,positive
i actually think i am a fairly authentic person generally i am pretty honest about my opinions desires etc and almost never lie even white lies but when it comes to those deep dark close to home negative feelings in your gut oh how i have repressed them out of fear,negative
i slept horribly and i m feeling doubtful about everything like why can t i manage to figure out how to save more money,negative
i feel hopeful yet at times not so hopeful,positive
i just supposed to read the bible and think well god wants me to feel peaceful so thats what i will do,positive
i hated growing up i have no good memories of a life as an innocent child only the feeling of being hated and worthlessness consume the memories,negative
i am having really badly cannot wear anything without causing spasms diarrhea or eat more than a few of mouthfuls i am feeling very miserable,negative
when my kid brother broke my reading spectacles,negative
i could feel my mouth water as i devoted all my energy to evoking yelps from his lips,positive
im feeling though that it may be worthwhile to learn the terminology and thus improve my ability to communicate,positive
i don t feel afraid i m a nurse i m doing my job,negative
i was feeling confident that i could work with these kids teach them,positive
im feeling scared,negative
i was feeling really cute and happy for church on sunday so i thought itd be a good time to take a belly picture,positive
i feel burdened because yuchun and junsu have been doing so well,negative
i had to really say that i m feeling remorseful and regretful for what i ve done,negative
im associated with what they do despite how i feel and protest about it whilst reaping the benefits of a relatively peaceful society,positive
i have a feeling i will once again walk out pressured to induce but i just have to remain strong in the face of pressure,negative
i feel like i m frolicking away precious time to do something for my future,positive
i feel like i have some useful tools,positive
i feel like im in some kind of defective shell that prevents me from utilizing who i know myself to be from using the tools i was given,negative
i feel so empty i dont know what i am suppose to do,negative
i genuinely feel for the characters and am keen to uncover every part of the story,positive
im feeling adventurous i might toss in a scoop of protein powder for an extra punch of nutrition,positive
i feel awkward around rose,negative
